AEECLSID_OATFSPL,0x01013e1d,system,brewcore
AEEIID_ActorFrameLoader,0x0103cdf2,languages,platformactors
AEECLSID_DEBUGMSGACTOR,0x01032264,apps,mam
AEECLSID_OATPOSDET,0x0101000c,system,brewcore
AEECLSID_THREAD,0x01001017,system,brewcore
AEECLSID_CARDINFOACTOR,0x01038f84,apps,softkeyappsuite
AEECLSID_QFONT14REG,0x01036367,apps,mam
AEECLSID_RotateWidget,0x0104577f,ui,widgets
AEECLSID_timezoneNoPlTest,0x01072ddc,databases,timezone
AEECLSID_OATMEDIAVIDEOAPP,0x01075696,media,multimedia
AEEIID_THREADSERVICE,0x0102acbd,system,componentservices
AEEIID_ILuaBuffer,0x0106eda9,languages,lua
AEECLSID_OATVOBJECTPARSER,0x0106246c,databases,vcard
AEECLSID_PRIV_LAST,0x01000004,system,brewcore
AEECLSID_BMPDECODER,0x01026e21,deprecated,headers
AEECLSID_OATCONTENTPREVIEWAPP_KERNEL,0x0107ecac,media,contentdrm
AEECLSID_SSLROOTCERTS,0x01001032,system,brewcore
AEECLSID_PNGDECODER,0x01026e23,deprecated,headers
AEEIID_IAsyncFS,0x0106dc3b,connectivity,bluetooth
AEECLSID_LocaleESMX,0x010311f3,system,locales
AEECLSID_PROPCONTAINER_1_2,0x0102fe2c,ui,widgets
AEECLSID_FSConstFileMap,0x01093908,system,componentservices
AEECLSID_DEVPORTMGR,0x01001024,system,brewcore
AEECLSID_PerfModMoverTest,0x01086204,security,modulemanager
AEECLSID_MediaXMF,0x01005512,media,multimedia
AEEIID_IMediaVideo,0x01038655,media,multimedia
AEECLSID_MemoryHogger,0x01078f0a,system,brewcore
AEECLSID_LuaShell,0x01085920,apps,mam
AEECLSID_OEMNetAttachment,0x0104604d,system,brewcore
AEECLSID_WindowMgrActor,0x0105f8ec,apps,mam
AEECLSID_OEMBCMCSDB,0x01039e7a,system,brewcore
AEECLSID_ModInstaller,0x010764bd,security,modulemanager
AEECLSID_TimeZoneService,0x0106fd7d,databases,timezone
AEECLSID_FONT_STANDARD36,0x0102f681,ui,fonts
AEECLSID_SCREEN_SAVER,0x01010101,system,brewcore
AEECLSID_APP0,0x010341fc,system,brewcore
AEECLSID_USBCompositor_Persist,0x01093e40,hardware,usbdevice
AEECLSID_LocaleTR,0x010311f6,system,locales
AEEIID_IRealloc,0x0102345e,system,componentservices
AEECLSID_RFMCOLLECTOR,0x01089f29,apps,mam
AEECLSID_SLIDERTC,0x0105660b,ui,widgets
AEECLSID_LocaleTH,0x0103a1ea,system,locales
AEECLSID_LocaleTL,0x010311f5,system,locales
AEECLSID_ModCollector,0x01071c19,security,modulemanager
AEECLSID_BitmapFX,0x010627c9,ui,display
AEECLSID_SOUNDPATHHANDLER,0x0104fffe,apps,softkeyappsuite
AEECLSID_OATMediaAACApp,0x0108a95b,media,multimedia
AEECLSID_MEMASTREAM,0x0100100c,system,brewcore
AEECLSID_BTOPPClient,0x0106e5ae,connectivity,bluetooth
AEECLSID_MemMgr,0x01029f1e,system,componentservices
AEECLSID_ModCtl1Service,0x01070e69,system,componentservices
AEECLSID_RESFILE_1_2,0x0102ec57,ui,widgets
AEEIID_IItemStore,0x01060f39,system,brewcore
AEECLSID_PHONECTL,0x01001055,system,brewcore
